EmployeeID,Name,Department,Age,Salary,ExperienceYears,Location,Status,EligibleForPromotion,AgeGroup
1001,Elizabeth,Marketing,35,55534,2,Delhi,Normal,No,Mid
1002,Jeffrey,Operations,50,80275,24,Pune,High,Yes,Senior
1003,Leslie,Operations,37,48919,9,Kolkata,Normal,Yes,Mid
1004,Dalton,Operations,23,51102,0,Kolkata,Normal,No,Young
1005,Kayla,Marketing,39,74223,2,Pune,Normal,No,Mid
1006,Mark,Marketing,37,62089,6,Hyderabad,Normal,Yes,Mid
1007,Lance,Data Science,37,114056,2,Mumbai,High,No,Mid
1008,Nicole,Operations,49,51114,22,Bangalore,Normal,Yes,Senior
1009,Stephen,Finance,42,118994,16,Hyderabad,High,Yes,Senior
1010,Marissa,Data Science,50,40324,13,Bangalore,Normal,Yes,Senior
1011,Misty,Finance,26,41894,2,Nagpur,Normal,No,Young
1012,Elizabeth,IT Support,31,65021,1,Nagpur,Normal,No,Mid
1013,Joshua,IT Support,37,103233,4,Mumbai,High,No,Mid
1014,Jose,HR,27,87639,2,Pune,High,No,Young
1015,Rebecca,HR,41,107408,2,Pune,High,No,Senior
1016,Rachel,IT Support,31,88137,6,Delhi,High,Yes,Mid
1017,Rachel,Operations,37,31223,0,Chennai,Normal,No,Mid
1018,Jacqueline,Marketing,37,138169,9,Mumbai,High,Yes,Mid
1019,Jennifer,IT Support,46,114361,14,Chennai,High,Yes,Senior
1020,Lynn,IT Support,34,39418,10,Nagpur,Normal,Yes,Mid
1021,Steven,Operations,36,66253,9,Delhi,Normal,Yes,Mid
1022,Kelli,IT Support,28,86163,4,Chennai,High,No,Young
1023,Carol,IT Support,44,66181,14,Hyderabad,Normal,Yes,Senior
1024,Sabrina,Sales,43,49605,1,Mumbai,Normal,No,Senior
1025,Linda,Sales,37,149570,0,Pune,High,No,Mid
1026,Katie,Sales,42,102484,16,Mumbai,High,Yes,Senior
1027,Loretta,IT Support,46,127283,23,Delhi,High,Yes,Senior
1028,William,Sales,46,92262,21,Chennai,High,Yes,Senior
1029,Todd,HR,31,120293,10,Delhi,High,Yes,Mid
1030,Angela,Operations,43,133701,7,Pune,High,Yes,Senior
1031,Wendy,Marketing,22,116236,0,Hyderabad,High,No,Young
1032,Theresa,HR,23,32845,1,Kolkata,Normal,No,Young
1033,Andrew,IT Support,44,146411,7,Delhi,High,Yes,Senior
1034,Carla,Operations,23,51853,2,Nagpur,Normal,No,Young
1035,Mary,Marketing,29,102198,3,Nagpur,High,No,Young
1036,Daniel,Marketing,30,144493,9,Nagpur,High,Yes,Mid
1037,Lauren,Sales,35,65432,4,Kolkata,Normal,No,Mid
1038,Paul,Marketing,36,104203,11,Delhi,High,Yes,Mid
1039,Melissa,IT Support,33,89665,2,Delhi,High,No,Mid
1040,Kristine,Finance,42,95074,16,Chennai,High,Yes,Senior
1041,Lindsey,Marketing,49,47754,3,Delhi,Normal,No,Senior
1042,Tyler,Finance,45,35492,18,Nagpur,Normal,Yes,Senior
1043,Samantha,Finance,38,136102,0,Delhi,High,No,Mid
1044,Audrey,IT Support,28,88184,0,Kolkata,High,No,Young
1045,Diane,HR,28,96675,6,Chennai,High,Yes,Young
1046,Francis,HR,38,119090,2,Mumbai,High,No,Mid
1047,Melissa,Data Science,34,47449,12,Bangalore,Normal,Yes,Mid
1048,Monique,Data Science,32,57212,6,Chennai,Normal,Yes,Mid
1049,Cheryl,Operations,30,76072,2,Kolkata,Normal,No,Mid
1050,Andrew,Data Science,41,106566,3,Nagpur,High,No,Senior
1051,Ronald,Data Science,45,128777,23,Delhi,High,Yes,Senior
1052,Timothy,Marketing,36,106311,2,Mumbai,High,No,Mid
1053,Ronald,IT Support,31,138612,0,Mumbai,High,No,Mid
1054,Jonathan,HR,39,60325,14,Mumbai,Normal,Yes,Mid
1055,Samuel,Finance,35,57664,8,Hyderabad,Normal,Yes,Mid
1056,Amy,Operations,23,87709,0,Mumbai,High,No,Young
1057,Lawrence,IT Support,26,147399,3,Kolkata,High,No,Young
1058,Catherine,Operations,45,54734,15,Nagpur,Normal,Yes,Senior
1059,Ronald,HR,45,59988,6,Bangalore,Normal,Yes,Senior
