EmployeeID,Name,Department,Age,Salary,ExperienceYears,Location,Status,EligibleForPromotion,AgeGroup
1001,Kelly,Sales,49,121500,24,Bangalore,High,Yes,Senior
1002,Derrick,Data Science,43,126516,21,Bangalore,High,Yes,Senior
1003,John,Marketing,27,85189,5,Delhi,High,Yes,Young
1004,Lori,IT Support,35,146021,7,Kolkata,High,Yes,Mid
1005,Katrina,IT Support,45,110047,18,Kolkata,High,Yes,Senior
1006,Sean,Sales,26,139080,4,Nagpur,High,No,Young
1007,Cassandra,Finance,23,129524,2,Mumbai,High,No,Young
1008,Ralph,HR,27,121160,1,Pune,High,No,Young
1009,Laura,IT Support,28,113788,5,Kolkata,High,Yes,Young
1010,Jocelyn,Sales,50,138533,22,Kolkata,High,Yes,Senior
1011,Sandra,Finance,41,125231,4,Delhi,High,No,Senior
1012,Tina,Data Science,50,86679,7,Hyderabad,High,Yes,Senior
1013,Anthony,Operations,48,78306,0,Delhi,Normal,No,Senior
1014,Olivia,Finance,30,42626,3,Hyderabad,Normal,No,Mid
1015,Douglas,Data Science,48,54583,5,Chennai,Normal,Yes,Senior
1016,Donna,HR,38,115833,4,Chennai,High,No,Mid
1017,William,Sales,48,56467,24,Pune,Normal,Yes,Senior
1018,Joel,Data Science,38,102022,9,Kolkata,High,Yes,Mid
1019,Christine,Data Science,24,110497,1,Nagpur,High,No,Young
1020,Alexander,Finance,40,31616,10,Nagpur,Normal,Yes,Senior
1021,Shannon,HR,25,56593,4,Kolkata,Normal,No,Young
1022,Richard,IT Support,47,71576,15,Kolkata,Normal,Yes,Senior
1023,Crystal,HR,22,76269,1,Chennai,Normal,No,Young
1024,Ryan,HR,32,140207,8,Mumbai,High,Yes,Mid
1025,Rebecca,Operations,27,43947,6,Nagpur,Normal,Yes,Young
1026,Robert,Marketing,49,126403,23,Pune,High,Yes,Senior
1027,Natalie,Finance,31,35130,9,Mumbai,Normal,Yes,Mid
1028,Christopher,Finance,34,141052,5,Hyderabad,High,Yes,Mid
1029,Tara,Finance,30,60951,3,Hyderabad,Normal,No,Mid
1030,Anthony,Operations,50,133481,1,Kolkata,High,No,Senior
1031,Cynthia,Data Science,40,73864,16,Nagpur,Normal,Yes,Senior
1032,Jill,Marketing,28,120586,1,Hyderabad,High,No,Young
1033,Katelyn,Sales,27,42623,4,Pune,Normal,No,Young
1034,Sarah,IT Support,28,137429,3,Nagpur,High,No,Young
1035,Jeffrey,HR,33,68056,12,Pune,Normal,Yes,Mid
1036,Andrew,Operations,47,118875,13,Bangalore,High,Yes,Senior
1037,Charles,Finance,27,104411,1,Nagpur,High,No,Young
1038,April,HR,35,54532,7,Mumbai,Normal,Yes,Mid
1039,Amy,Finance,49,108506,10,Pune,High,Yes,Senior
1040,Andrea,Finance,33,38888,1,Nagpur,Normal,No,Mid
1041,John,Data Science,34,34530,7,Nagpur,Normal,Yes,Mid
1042,Kelly,Data Science,46,64253,19,Mumbai,Normal,Yes,Senior
1043,Tammy,IT Support,33,70342,11,Pune,Normal,Yes,Mid
